00:00:00.667,00:00:08.809
00:00:08.809,00:00:18.018
00:00:18.018,00:00:49.116
00:00:49.116,00:00:59.726
00:00:59.726,00:01:08.969
00:01:08.969,00:01:21.682
00:01:21.682,00:01:33.827
00:01:33.827,00:01:40.200
00:01:40.200,00:01:57.818
00:01:57.818,00:02:10.130
00:02:10.130,00:02:24.845
00:02:24.845,00:02:45.565
00:02:45.565,00:02:53.273
00:02:53.273,00:03:02.516
00:03:02.516,00:03:10.123
00:03:10.123,00:03:42.589
00:03:42.589,00:04:32.906
00:04:32.906,00:04:52.659
00:04:52.659,00:05:02.669
00:05:02.669,00:05:36.636
00:05:36.636,00:05:44.211
00:05:44.211,00:06:06.600
00:06:06.600,00:06:38.365
00:06:38.365,00:06:45.272
00:06:45.272,00:07:41.628
00:07:41.628,00:07:51.604
00:07:51.604,00:07:57.711
00:07:57.711,00:08:05.785
00:08:05.785,00:08:13.860
00:08:13.860,00:08:50.864
00:08:50.864,00:09:08.681
00:09:08.681,00:09:25.198
00:09:25.198,00:10:40.974
00:10:40.974,00:10:51.351
00:10:51.351,00:11:01.628
00:11:01.628,00:11:07.967
00:11:07.967,00:11:16.676
00:11:16.676,00:11:24.317
00:11:24.317,00:11:33.293
00:11:33.293,00:11:42.735
00:11:42.735,00:11:45.038
00:11:45.038,00:11:51.644
00:11:51.644,00:11:58.251
00:11:58.251,00:12:03.723
00:12:03.723,00:13:09.789
00:13:09.789,00:13:37.216
00:13:37.216,00:14:06.546
00:14:06.546,00:14:40.446
00:14:40.446,00:14:48.454
00:14:48.454,00:14:56.395
00:14:56.395,00:15:04.370
00:15:04.370,00:15:12.545
00:15:12.545,00:15:21.921
00:15:21.921,00:15:27.693
00:15:27.693,00:15:33.966
00:15:33.966,00:15:43.476
00:15:43.476,00:15:51.818
00:15:51.818,00:15:58.591
00:15:58.591,00:16:04.597
00:16:04.597,00:16:10.703
00:16:10.703,00:16:19.612
